key	english	file	line
LA.settings.customReactions.name	LA.settings.customReactions.name	scripts/activations/reaction-manager.js	181
LA.settings.customReactions.hint	LA.settings.customReactions.hint	scripts/activations/reaction-manager.js	182
LA.settings.generalReactions.name	LA.settings.generalReactions.name	scripts/activations/reaction-manager.js	190
LA.settings.generalReactions.hint	LA.settings.generalReactions.hint	scripts/activations/reaction-manager.js	191
LA.settings.reactionConfig.name	LA.settings.reactionConfig.name	scripts/activations/reaction-manager.js	199
LA.settings.reactionConfig.hint	LA.settings.reactionConfig.hint	scripts/activations/reaction-manager.js	201
LA.settings.reactionConfig.label	LA.settings.reactionConfig.label	scripts/activations/reaction-manager.js	200
LA.settings.activationFolders.name	LA.settings.activationFolders.name	scripts/activations/reaction-manager.js	208
LA.settings.activationFolders.hint	LA.settings.activationFolders.hint	scripts/activations/reaction-manager.js	209
LA.settings.startupScripts.name	LA.settings.startupScripts.name	scripts/activations/reaction-manager.js	217
LA.settings.startupScripts.hint	LA.settings.startupScripts.hint	scripts/activations/reaction-manager.js	218
LA.settings.enableLaSossisItems.name	LA.settings.enableLaSossisItems.name	scripts/activations/reaction-manager.js	226
LA.settings.enableLaSossisItems.hint	LA.settings.enableLaSossisItems.hint	scripts/activations/reaction-manager.js	227
LA.settings.enablePersonalStuff.name	LA.settings.enablePersonalStuff.name	scripts/activations/reaction-manager.js	236
LA.settings.enablePersonalStuff.hint	LA.settings.enablePersonalStuff.hint	scripts/activations/reaction-manager.js	237
LA.settings.speedProvider.colorStandard.name	LA.settings.speedProvider.colorStandard.name	scripts/combat/speed-provider.js	64
LA.settings.speedProvider.colorBoost.name	LA.settings.speedProvider.colorBoost.name	scripts/combat/speed-provider.js	67
LA.settings.speedProvider.colorOverBoost.name	LA.settings.speedProvider.colorOverBoost.name	scripts/combat/speed-provider.js	70
LA.settings.speedProvider.colorFreeMovement.name	LA.settings.speedProvider.colorFreeMovement.name	scripts/combat/speed-provider.js	73
LA.settings.speedProvider.colorForceMovement.name	LA.settings.speedProvider.colorForceMovement.name	scripts/combat/speed-provider.js	76
LA.settings.advMeasureScale.name	LA.settings.advMeasureScale.name	scripts/interactive/tools/advancedMeasure.js	1005
LA.settings.advMeasureScale.hint	LA.settings.advMeasureScale.hint	scripts/interactive/tools/advancedMeasure.js	1006
LA.settings.ctrlRulerMode.choices.none	LA.settings.ctrlRulerMode.choices.none	scripts/interactive/tools/advancedMeasure.js	1014
LA.settings.ctrlRulerMode.choices.tool	LA.settings.ctrlRulerMode.choices.tool	scripts/interactive/tools/advancedMeasure.js	1014
LA.settings.ctrlRulerMode.choices.always	LA.settings.ctrlRulerMode.choices.always	scripts/interactive/tools/advancedMeasure.js	1014
LA.keybindings.resetMovement.name	LA.keybindings.resetMovement.name	scripts/main.js	584
LA.keybindings.resetMovement.hint	LA.keybindings.resetMovement.hint	scripts/main.js	585
LA.keybindings.cardTargeting.name	LA.keybindings.cardTargeting.name	scripts/main.js	601
LA.keybindings.cardTargeting.hint	LA.keybindings.cardTargeting.hint	scripts/main.js	602
LA.keybindings.advancedMeasure.name	LA.keybindings.advancedMeasure.name	scripts/main.js	606
LA.keybindings.advancedMeasure.hint	LA.keybindings.advancedMeasure.hint	scripts/main.js	607
LA.settings.historyClearOnTurn.name	LA.settings.historyClearOnTurn.name	scripts/movement/history.js	213
LA.settings.historyClearOnTurn.hint	LA.settings.historyClearOnTurn.hint	scripts/movement/history.js	214
LA.settings.historyClearOnRound.name	LA.settings.historyClearOnRound.name	scripts/movement/history.js	221
LA.settings.historyClearOnRound.hint	LA.settings.historyClearOnRound.hint	scripts/movement/history.js	222
LA.keybindings.freeMovement.name	LA.keybindings.freeMovement.name	scripts/movement/keybindings.js	83
LA.keybindings.freeMovement.hint	LA.keybindings.freeMovement.hint	scripts/movement/keybindings.js	84
LA.keybindings.debugMovement.name	LA.keybindings.debugMovement.name	scripts/movement/keybindings.js	99
LA.keybindings.debugMovement.hint	LA.keybindings.debugMovement.hint	scripts/movement/keybindings.js	100
LA.keybindings.togglePathfinding.name	LA.keybindings.togglePathfinding.name	scripts/movement/keybindings.js	115
LA.keybindings.togglePathfinding.hint	LA.keybindings.togglePathfinding.hint	scripts/movement/keybindings.js	116
LA.keybindings.toggleAutoElevation.name	LA.keybindings.toggleAutoElevation.name	scripts/movement/keybindings.js	134
LA.keybindings.toggleAutoElevation.hint	LA.keybindings.toggleAutoElevation.hint	scripts/movement/keybindings.js	135
LA.keybindings.movementWheel.name	LA.keybindings.movementWheel.name	scripts/movement/movement-wheel.js	127
LA.keybindings.movementWheel.hint	LA.keybindings.movementWheel.hint	scripts/movement/movement-wheel.js	128
LA.settings.enableTacticalDistance.choices.off	LA.settings.enableTacticalDistance.choices.off	scripts/movement/tactical-distance.js	517
LA.settings.enableTacticalDistance.choices.combat	LA.settings.enableTacticalDistance.choices.combat	scripts/movement/tactical-distance.js	517
LA.settings.enableTacticalDistance.choices.always	LA.settings.enableTacticalDistance.choices.always	scripts/movement/tactical-distance.js	517
LA.settings.tacticalLabelPosition.choices.above	LA.settings.tacticalLabelPosition.choices.above	scripts/movement/tactical-distance.js	534
LA.settings.tacticalLabelPosition.choices.below	LA.settings.tacticalLabelPosition.choices.below	scripts/movement/tactical-distance.js	534
LA.settings.visionAnimationThrottleFps.name	LA.settings.visionAnimationThrottleFps.name	scripts/movement/vision-throttle.js	43
LA.settings.visionAnimationThrottleFps.hint	LA.settings.visionAnimationThrottleFps.hint	scripts/movement/vision-throttle.js	44
LA.settings.settingsOnboardingMenu.name	LA.settings.settingsOnboardingMenu.name	scripts/setup/settings-onboarding.js	1353
LA.settings.settingsOnboardingMenu.hint	LA.settings.settingsOnboardingMenu.hint	scripts/setup/settings-onboarding.js	1355
LA.settings.settingsOnboardingMenu.label	LA.settings.settingsOnboardingMenu.label	scripts/setup/settings-onboarding.js	1354
LA.settings.reactionNotificationMode.name	LA.settings.reactionNotificationMode.name	scripts/setup/settings-register.js	30
LA.settings.reactionNotificationMode.hint	LA.settings.reactionNotificationMode.hint	scripts/setup/settings-register.js	31
LA.settings.reactionNotificationMode.choices.both	LA.settings.reactionNotificationMode.choices.both	scripts/setup/settings-register.js	29
LA.settings.reactionNotificationMode.choices.gm	LA.settings.reactionNotificationMode.choices.gm	scripts/setup/settings-register.js	29
LA.settings.reactionNotificationMode.choices.owner	LA.settings.reactionNotificationMode.choices.owner	scripts/setup/settings-register.js	29
LA.settings.effectNotificationMode.name	LA.settings.effectNotificationMode.name	scripts/setup/settings-register.js	44
LA.settings.effectNotificationMode.hint	LA.settings.effectNotificationMode.hint	scripts/setup/settings-register.js	45
LA.settings.effectNotificationMode.choices.public	LA.settings.effectNotificationMode.choices.public	scripts/setup/settings-register.js	43
LA.settings.effectNotificationMode.choices.whisper	LA.settings.effectNotificationMode.choices.whisper	scripts/setup/settings-register.js	43
LA.settings.effectNotificationMode.choices.off	LA.settings.effectNotificationMode.choices.off	scripts/setup/settings-register.js	43
LA.settings.consumeReaction.name	LA.settings.consumeReaction.name	scripts/setup/settings-register.js	58
LA.settings.consumeReaction.hint	LA.settings.consumeReaction.hint	scripts/setup/settings-register.js	59
LA.settings.consumeAction.name	LA.settings.consumeAction.name	scripts/setup/settings-register.js	81
LA.settings.consumeAction.hint	LA.settings.consumeAction.hint	scripts/setup/settings-register.js	82
LA.settings.overlapTokenPicker.name	LA.settings.overlapTokenPicker.name	scripts/setup/settings-register.js	90
LA.settings.overlapTokenPicker.hint	LA.settings.overlapTokenPicker.hint	scripts/setup/settings-register.js	91
LA.settings.autoFocusDuration.name	LA.settings.autoFocusDuration.name	scripts/setup/settings-register.js	99
LA.settings.autoFocusDuration.hint	LA.settings.autoFocusDuration.hint	scripts/setup/settings-register.js	100
LA.settings.autoFocusCards.name	LA.settings.autoFocusCards.name	scripts/setup/settings-register.js	109
LA.settings.autoFocusCards.hint	LA.settings.autoFocusCards.hint	scripts/setup/settings-register.js	110
LA.settings.autoFocusAttack.name	LA.settings.autoFocusAttack.name	scripts/setup/settings-register.js	118
LA.settings.autoFocusAttack.hint	LA.settings.autoFocusAttack.hint	scripts/setup/settings-register.js	119
LA.settings.autoFocusDamage.name	LA.settings.autoFocusDamage.name	scripts/setup/settings-register.js	127
LA.settings.autoFocusDamage.hint	LA.settings.autoFocusDamage.hint	scripts/setup/settings-register.js	128
LA.settings.autoFocusCheck.name	LA.settings.autoFocusCheck.name	scripts/setup/settings-register.js	136
LA.settings.autoFocusCheck.hint	LA.settings.autoFocusCheck.hint	scripts/setup/settings-register.js	137
LA.settings.autoFocusActivation.name	LA.settings.autoFocusActivation.name	scripts/setup/settings-register.js	145
LA.settings.autoFocusActivation.hint	LA.settings.autoFocusActivation.hint	scripts/setup/settings-register.js	146
LA.settings.showBonusHudButton.name	LA.settings.showBonusHudButton.name	scripts/setup/settings-register.js	154
LA.settings.showBonusHudButton.hint	LA.settings.showBonusHudButton.hint	scripts/setup/settings-register.js	155
LA.settings.showStatusEffectsHudButton.name	LA.settings.showStatusEffectsHudButton.name	scripts/setup/settings-register.js	163
LA.settings.showStatusEffectsHudButton.hint	LA.settings.showStatusEffectsHudButton.hint	scripts/setup/settings-register.js	164
LA.settings.showCombatStateHudButton.name	LA.settings.showCombatStateHudButton.name	scripts/setup/settings-register.js	172
LA.settings.showCombatStateHudButton.hint	LA.settings.showCombatStateHudButton.hint	scripts/setup/settings-register.js	173
LA.settings.showTargetStateHudButton.name	LA.settings.showTargetStateHudButton.name	scripts/setup/settings-register.js	181
LA.settings.showTargetStateHudButton.hint	LA.settings.showTargetStateHudButton.hint	scripts/setup/settings-register.js	182
LA.settings.showRevertMovementHudButton.name	LA.settings.showRevertMovementHudButton.name	scripts/setup/settings-register.js	190
LA.settings.showRevertMovementHudButton.hint	LA.settings.showRevertMovementHudButton.hint	scripts/setup/settings-register.js	191
LA.settings.statusHalo.name	LA.settings.statusHalo.name	scripts/setup/settings-register.js	199
LA.settings.statusHalo.hint	LA.settings.statusHalo.hint	scripts/setup/settings-register.js	200
LA.settings.statusHaloRadius.name	LA.settings.statusHaloRadius.name	scripts/setup/settings-register.js	209
LA.settings.statusHaloRadius.hint	LA.settings.statusHaloRadius.hint	scripts/setup/settings-register.js	210
LA.settings.statusIconMinZoomScale.name	LA.settings.statusIconMinZoomScale.name	scripts/setup/settings-register.js	220
LA.settings.statusIconMinZoomScale.hint	LA.settings.statusIconMinZoomScale.hint	scripts/setup/settings-register.js	221
LA.settings.statusHaloStartAngle.name	LA.settings.statusHaloStartAngle.name	scripts/setup/settings-register.js	231
LA.settings.statusHaloStartAngle.hint	LA.settings.statusHaloStartAngle.hint	scripts/setup/settings-register.js	232
LA.settings.statusIconHover.name	LA.settings.statusIconHover.name	scripts/setup/settings-register.js	242
LA.settings.statusIconHover.hint	LA.settings.statusIconHover.hint	scripts/setup/settings-register.js	243
LA.settings.statusCounterColor.name	LA.settings.statusCounterColor.name	scripts/setup/settings-register.js	251
LA.settings.statusCounterColor.hint	LA.settings.statusCounterColor.hint	scripts/setup/settings-register.js	252
LA.settings.statusUsageColor.name	LA.settings.statusUsageColor.name	scripts/setup/settings-register.js	261
LA.settings.statusUsageColor.hint	LA.settings.statusUsageColor.hint	scripts/setup/settings-register.js	262
LA.settings.statusDurationColor.name	LA.settings.statusDurationColor.name	scripts/setup/settings-register.js	275
LA.settings.statusDurationColor.hint	LA.settings.statusDurationColor.hint	scripts/setup/settings-register.js	276
LA.settings.statusBadgeFontScale.name	LA.settings.statusBadgeFontScale.name	scripts/setup/settings-register.js	285
LA.settings.statusBadgeFontScale.hint	LA.settings.statusBadgeFontScale.hint	scripts/setup/settings-register.js	286
LA.settings.additionalStatuses.name	LA.settings.additionalStatuses.name	scripts/setup/settings-register.js	298
LA.settings.additionalStatuses.hint	LA.settings.additionalStatuses.hint	scripts/setup/settings-register.js	299
LA.settings.enablePerRoundTurnTags.name	LA.settings.enablePerRoundTurnTags.name	scripts/setup/settings-register.js	308
LA.settings.enablePerRoundTurnTags.hint	LA.settings.enablePerRoundTurnTags.hint	scripts/setup/settings-register.js	309
LA.settings.enableInfectionDamageIntegration.name	LA.settings.enableInfectionDamageIntegration.name	scripts/setup/settings-register.js	318
LA.settings.enableInfectionDamageIntegration.hint	LA.settings.enableInfectionDamageIntegration.hint	scripts/setup/settings-register.js	319
LA.settings.convertHeatToEnergyOnHeatless.name	LA.settings.convertHeatToEnergyOnHeatless.name	scripts/setup/settings-register.js	328
LA.settings.convertHeatToEnergyOnHeatless.hint	LA.settings.convertHeatToEnergyOnHeatless.hint	scripts/setup/settings-register.js	329
LA.settings.resistSelfHeat.name	LA.settings.resistSelfHeat.name	scripts/setup/settings-register.js	337
LA.settings.resistSelfHeat.hint	LA.settings.resistSelfHeat.hint	scripts/setup/settings-register.js	338
LA.settings.autoDamageRoll.name	LA.settings.autoDamageRoll.name	scripts/setup/settings-register.js	346
LA.settings.autoDamageRoll.hint	LA.settings.autoDamageRoll.hint	scripts/setup/settings-register.js	347
LA.settings.autoDamageApply.name	LA.settings.autoDamageApply.name	scripts/setup/settings-register.js	355
LA.settings.autoDamageApply.hint	LA.settings.autoDamageApply.hint	scripts/setup/settings-register.js	356
LA.settings.autoStructFollowup.name	LA.settings.autoStructFollowup.name	scripts/setup/settings-register.js	364
LA.settings.autoStructFollowup.hint	LA.settings.autoStructFollowup.hint	scripts/setup/settings-register.js	365
LA.settings.enableKnockbackFlow.name	LA.settings.enableKnockbackFlow.name	scripts/setup/settings-register.js	373
LA.settings.enableKnockbackFlow.hint	LA.settings.enableKnockbackFlow.hint	scripts/setup/settings-register.js	374
LA.settings.enableThrowFlow.name	LA.settings.enableThrowFlow.name	scripts/setup/settings-register.js	382
LA.settings.enableThrowFlow.hint	LA.settings.enableThrowFlow.hint	scripts/setup/settings-register.js	383
LA.settings.statRollTargeting.name	LA.settings.statRollTargeting.name	scripts/setup/settings-register.js	391
LA.settings.statRollTargeting.hint	LA.settings.statRollTargeting.hint	scripts/setup/settings-register.js	392
LA.settings.uplinkEnabled.name	LA.settings.uplinkEnabled.name	scripts/setup/settings-register.js	400
LA.settings.uplinkEnabled.hint	LA.settings.uplinkEnabled.hint	scripts/setup/settings-register.js	401
LA.settings.uplinkAutoOpen.name	LA.settings.uplinkAutoOpen.name	scripts/setup/settings-register.js	409
LA.settings.uplinkAutoOpen.hint	LA.settings.uplinkAutoOpen.hint	scripts/setup/settings-register.js	410
LA.settings.weaponFxAboveTokens.name	LA.settings.weaponFxAboveTokens.name	scripts/setup/settings-register.js	432
LA.settings.weaponFxAboveTokens.hint	LA.settings.weaponFxAboveTokens.hint	scripts/setup/settings-register.js	433
LA.settings.enableAttackTargeting.name	LA.settings.enableAttackTargeting.name	scripts/setup/settings-register.js	441
LA.settings.enableAttackTargeting.hint	LA.settings.enableAttackTargeting.hint	scripts/setup/settings-register.js	442
LA.settings.enableDamageTargeting.name	LA.settings.enableDamageTargeting.name	scripts/setup/settings-register.js	450
LA.settings.enableDamageTargeting.hint	LA.settings.enableDamageTargeting.hint	scripts/setup/settings-register.js	451
LA.settings.clearTargetsAfterRoll.name	LA.settings.clearTargetsAfterRoll.name	scripts/setup/settings-register.js	459
LA.settings.clearTargetsAfterRoll.hint	LA.settings.clearTargetsAfterRoll.hint	scripts/setup/settings-register.js	460
LA.settings.targetInfoDisplay.name	LA.settings.targetInfoDisplay.name	scripts/setup/settings-register.js	468
LA.settings.targetInfoDisplay.hint	LA.settings.targetInfoDisplay.hint	scripts/setup/settings-register.js	469
LA.settings.targetInfoDisplay.choices.off	LA.settings.targetInfoDisplay.choices.off	scripts/setup/settings-register.js	467
LA.settings.targetInfoDisplay.choices.gm	LA.settings.targetInfoDisplay.choices.gm	scripts/setup/settings-register.js	467
LA.settings.targetInfoDisplay.choices.all	LA.settings.targetInfoDisplay.choices.all	scripts/setup/settings-register.js	467
LA.settings.autoStartTargetPicking.name	LA.settings.autoStartTargetPicking.name	scripts/setup/settings-register.js	482
LA.settings.autoStartTargetPicking.hint	LA.settings.autoStartTargetPicking.hint	scripts/setup/settings-register.js	483
LA.settings.displayToolsToOthers.name	LA.settings.displayToolsToOthers.name	scripts/setup/settings-register.js	491
LA.settings.displayToolsToOthers.hint	LA.settings.displayToolsToOthers.hint	scripts/setup/settings-register.js	492
LA.settings.treatGenericPrintAsActivation.name	LA.settings.treatGenericPrintAsActivation.name	scripts/setup/settings-register.js	500
LA.settings.treatGenericPrintAsActivation.hint	LA.settings.treatGenericPrintAsActivation.hint	scripts/setup/settings-register.js	501
LA.settings.enableMovementCapDetection.name	LA.settings.enableMovementCapDetection.name	scripts/setup/settings-register.js	509
LA.settings.enableMovementCapDetection.hint	LA.settings.enableMovementCapDetection.hint	scripts/setup/settings-register.js	510
LA.settings.enableBoostOffer.name	LA.settings.enableBoostOffer.name	scripts/setup/settings-register.js	518
LA.settings.enableBoostOffer.hint	LA.settings.enableBoostOffer.hint	scripts/setup/settings-register.js	519
LA.settings.enableBoostOffer.choices.no	LA.settings.enableBoostOffer.choices.no	scripts/setup/settings-register.js	517
LA.settings.enableBoostOffer.choices.yes	LA.settings.enableBoostOffer.choices.yes	scripts/setup/settings-register.js	517
LA.settings.enableBoostOffer.choices.auto	LA.settings.enableBoostOffer.choices.auto	scripts/setup/settings-register.js	517
LA.settings.showDeployableLines.name	LA.settings.showDeployableLines.name	scripts/setup/settings-register.js	532
LA.settings.showDeployableLines.hint	LA.settings.showDeployableLines.hint	scripts/setup/settings-register.js	533
LA.settings.enableAltStruct.name	LA.settings.enableAltStruct.name	scripts/setup/settings-register.js	542
LA.settings.enableAltStruct.hint	LA.settings.enableAltStruct.hint	scripts/setup/settings-register.js	543
LA.settings.enableOneStructNpc.name	LA.settings.enableOneStructNpc.name	scripts/setup/settings-register.js	553
LA.settings.enableOneStructNpc.hint	LA.settings.enableOneStructNpc.hint	scripts/setup/settings-register.js	554
LA.settings.dragVisionMultiplier.name	LA.settings.dragVisionMultiplier.name	scripts/setup/settings-register.js	563
LA.settings.dragVisionMultiplier.hint	LA.settings.dragVisionMultiplier.hint	scripts/setup/settings-register.js	564
LA.settings.rangePulseLineOpacity.name	LA.settings.rangePulseLineOpacity.name	scripts/setup/settings-register.js	573
LA.settings.rangePulseLineOpacity.hint	LA.settings.rangePulseLineOpacity.hint	scripts/setup/settings-register.js	574
LA.settings.rangePulseWaveOpacity.name	LA.settings.rangePulseWaveOpacity.name	scripts/setup/settings-register.js	583
LA.settings.rangePulseWaveOpacity.hint	LA.settings.rangePulseWaveOpacity.hint	scripts/setup/settings-register.js	584
LA.settings.rangePulseLineWidth.name	LA.settings.rangePulseLineWidth.name	scripts/setup/settings-register.js	593
LA.settings.rangePulseLineWidth.hint	LA.settings.rangePulseLineWidth.hint	scripts/setup/settings-register.js	594
LA.settings.rangePulseLos.name	LA.settings.rangePulseLos.name	scripts/setup/settings-register.js	603
LA.settings.rangePulseLos.hint	LA.settings.rangePulseLos.hint	scripts/setup/settings-register.js	604
LA.settings.rangePulseSpeed.name	LA.settings.rangePulseSpeed.name	scripts/setup/settings-register.js	612
LA.settings.rangePulseSpeed.hint	LA.settings.rangePulseSpeed.hint	scripts/setup/settings-register.js	613
LA.settings.rangePulseStyle.name	LA.settings.rangePulseStyle.name	scripts/setup/settings-register.js	622
LA.settings.rangePulseStyle.hint	LA.settings.rangePulseStyle.hint	scripts/setup/settings-register.js	623
LA.settings.rangePulseStyle.choices.inset	LA.settings.rangePulseStyle.choices.inset	scripts/setup/settings-register.js	621
